Название вакансии,Название компании,зарплата,ссылка на вакансию
Middle+ \ Senior Fullstack PHP-разработчик (отдел поддержки сайтов),Пиксель Плюс,до 150 000 ₽ на руки,https://adsrv.hh.ru/click?b=1168647&place=35&meta=HYkMMFtZNsKwlCgzLy3MIZhkJwpigpiVVA6jLEN5I2P5iypup4owApNPIn2bKvOGh4R4jFkojTlkGX0BXWY2xsv4uurpbtaYIadDzlpiOd45OXRj78QQe9RpAWxS3F6WpMVzuREBx0R-QzZmIWTLNXy36nPL2nGcMrIY7m0W2igcYXREXN4QuT9YNqWZPZyvQGB_T_2u3vXMsJch3XZcdYQzRfI0exkOxp4VC3tnhThWkxm6Vip-APUd0m2wGRdU4OsUCpfTVFXUEi1lIMzU-ns1U9wx3cjEu87GgjpdR60rMS9JebYvjyBGVFFwlrakDt4VyCEXicfqVK2GTSz6FXHyF5ExUj_GKymwL_SeLNpuoq1IXn8JC0RwRzpXdRd2m7QRFiKXO9mDUymGykR_h4UraW2_0ZP0gfk-CZL7Fr-wlu4YguXcGTvkcyvH3whT6LPAJtKUublJNQXqiajIP7ZsF7A0LGm1MYD1XoTnyZKHzWEvRCdZgj9rZPraGVlRfJw8wsv5oKsDbQNLgbFNlQ%3D%3D&clickType=link_to_vacancy
Junior .Net Core разработчик (Blockchain),ООО Кошелек.Ру,до 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105850316?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С (удаленно),ABCP,от 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/105333161?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Bitrix разработчик middle,ООО Элитс,от 110 000 ₽ на руки,https://hh.ru/vacancy/105898797?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО ЧОП Центавр,от 250 000 ₽ на руки,https://hh.ru/vacancy/105942569?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior IT специалист / системный аналитик / программист Трудоустройство,ИП Громова Лукия Максимовна,100 000 – 170 000 ₽ на руки,https://hh.ru/vacancy/105945851?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Python разработчик (удаленно),ИП Андреев Артём Александрович,до 80 000 ₽ на руки,https://hh.ru/vacancy/105758497?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажер,ALEXROVICH.RU,от 53 000 ₽ на руки,https://hh.ru/vacancy/95073712?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP программист,УЧЕТ ПРОСТО,60 000 – 90 000 ₽ на руки,https://hh.ru/vacancy/105693253?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер-программист 1С,ООО АСМ,от 60 000 ₽ на руки,https://hh.ru/vacancy/104801724?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,В/ч 2320,от 75 000 ₽ на руки,https://hh.ru/vacancy/106013722?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++/Qt (junior),ЗАО НТЦ Передовые Системы,до 140 000 ₽ до вычета налогов,https://hh.ru/vacancy/106071308?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior разработчик (fullstack),"АйТи Гео, ООО (IT GEO)",от 60 000 ₽ на руки,https://hh.ru/vacancy/105052613?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Desktop Developer (C++/Qt),ООО Перфект Системс,130 000 – 220 000 ₽ до вычета налогов,https://hh.ru/vacancy/105968090?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
